,0,1
0,84056,18.19
1,84310,18.19
2,84317,18.19
3,84067,18.19
4,84403,18.19
5,84401,18.19
6,84414,18.19
7,84404,18.19
8,84315,34.67
9,84015,34.67
10,84075,61.22
11,84040,46.19
12,84041,46.19
13,84405,46.19
14,84037,38.38
15,84025,49.36
16,84014,96.9
17,84010,75.11
18,84054,109.41
19,84025,114.94
20,84087,75.1
