,date,zip,rate per 100K,Unnamed: 3,city
24,20200416.0,84111.0,173.1,,
25,20200416.0,84112.0,50.3,,
26,20200416.0,84115.0,141.0,,
27,20200416.0,84116.0,196.9,,
28,20200416.0,84117.0,107.0,,
29,20200416.0,84118.0,116.6,,
30,20200416.0,84119.0,256.0,,
31,20200416.0,84120.0,151.6,,
32,20200416.0,84121.0,66.3,,
33,20200416.0,84123.0,95.3,,
34,20200416.0,84124.0,71.7,,
35,20200416.0,84128.0,148.9,,
36,20200416.0,84129.0,85.8,,
0,2020-04-16 00:00:00,84056,18.19,,
1,2020-04-16 00:00:00,84310,18.19,,
2,2020-04-16 00:00:00,84317,18.19,,
3,2020-04-16 00:00:00,84067,18.19,,
4,2020-04-16 00:00:00,84403,18.19,,
5,2020-04-16 00:00:00,84401,18.19,,
6,2020-04-16 00:00:00,84414,18.19,,
7,2020-04-16 00:00:00,84404,18.19,,
8,2020-04-16 00:00:00,84315,34.67,,
9,2020-04-16 00:00:00,84015,34.67,,
10,2020-04-16 00:00:00,84075,61.22,,
11,2020-04-16 00:00:00,84040,46.19,,
12,2020-04-16 00:00:00,84041,46.19,,
13,2020-04-16 00:00:00,84405,46.19,,
14,2020-04-16 00:00:00,84037,38.38,,
15,2020-04-16 00:00:00,84025,49.36,,
16,2020-04-16 00:00:00,84014,96.9,,
17,2020-04-16 00:00:00,84010,75.11,,
18,2020-04-16 00:00:00,84054,109.41,,
19,2020-04-16 00:00:00,84025,114.94,,
20,2020-04-16 00:00:00,84087,75.1,,
